iso_code,name,state,country,zone
15464,Mongua,BOY,CO,6
15466,Mongui,BOY,CO,6
15469,Moniquira,BOY,CO,6
15476,Motavita,BOY,CO,6
15480,Muzo,BOY,CO,6
15491,Nobsa,BOY,CO,6
15494,Nuevo Colon,BOY,CO,6
15500,Oicata,BOY,CO,6
15507,Otanche,BOY,CO,6
15511,Pachavita,BOY,CO,6
15514,Paez,BOY,CO,6
15516,Paipa,BOY,CO,6
15518,Pajarito,BOY,CO,6
15522,Panqueba,BOY,CO,6
15531,Pauna,BOY,CO,6
15533,Paya,BOY,CO,6
15537,Paz De Rio,BOY,CO,6
15542,Pesca,BOY,CO,6
15550,Pisba,BOY,CO,6
15572,Puerto Boyaca,BOY,CO,6
15580,Quipama,BOY,CO,6
15599,Ramiriqui,BOY,CO,6
15600,Raquira,BOY,CO,6
15621,Rondon,BOY,CO,6
15632,Saboya,BOY,CO,6
15638,Sachica,BOY,CO,6
15646,Samaca,BOY,CO,6
15660,San Eduardo,BOY,CO,6
15664,San Jose De Pare,BOY,CO,6
15667,San Luis De Gaceno,BOY,CO,6
15673,San Mateo,BOY,CO,6
15676,San Miguel De Sema,BOY,CO,6
15681,San Pablo De Borbur,BOY,CO,6
15686,Santana,BOY,CO,6
15690,Santa Maria,BOY,CO,6
15693,Santa Rosa De Viterbo,BOY,CO,6
15696,Santa Sofia,BOY,CO,6
15720,Sativanorte,BOY,CO,6
15723,Sativasur,BOY,CO,6
15740,Siachoque,BOY,CO,6
15753,Soata,BOY,CO,6
15755,Socota,BOY,CO,6
15757,Socha,BOY,CO,6
15759,Sogamoso,BOY,CO,6
15761,Somondoco,BOY,CO,6
15762,Sora,BOY,CO,6
15763,Sotaquira,BOY,CO,6
15764,Soraca,BOY,CO,6
15774,Susacon,BOY,CO,6
15776,Sutamarchan,BOY,CO,6
15778,Sutatenza,BOY,CO,6
15790,Tasco,BOY,CO,6
15798,Tenza,BOY,CO,6
15804,Tibana,BOY,CO,6
15806,Tibasosa,BOY,CO,6
15808,Tinjaca,BOY,CO,6
15810,Tipacoque,BOY,CO,6
15814,Toca,BOY,CO,6
15816,Togsi,BOY,CO,6
15820,Topaga,BOY,CO,6
15822,Tota,BOY,CO,6
15832,Tunungua,BOY,CO,6
15835,Turmeque,BOY,CO,6
15837,Tuta,BOY,CO,6
15839,Tutaza,BOY,CO,6
15842,Umbita,BOY,CO,6
15861,Ventaquemada,BOY,CO,6
15879,Viracacha,BOY,CO,6
15897,Zetaquira,BOY,CO,6
17001,Manizales,CAL,CO,6
17013,Aguadas,CAL,CO,6
17042,Anserma,CAL,CO,6
17050,Aranzazu,CAL,CO,6
17088,Belalcazar,CAL,CO,6
17174,Chinchina,CAL,CO,6
17272,Filadelfia,CAL,CO,6
17380,La Dorada,CAL,CO,6
17388,La Merced,CAL,CO,6
17433,Manzanares,CAL,CO,6
17442,Marmato,CAL,CO,6
17444,Marquetalia,CAL,CO,6
17446,Marulanda,CAL,CO,6
17486,Neira,CAL,CO,6
17495,Norcasia,CAL,CO,6
17513,Pacora,CAL,CO,6
17524,Palestina,CAL,CO,6
17541,Pensilvania,CAL,CO,6
17614,Riosucio,CAL,CO,6
17616,Risaralda,CAL,CO,6
17653,Salamina,CAL,CO,6
17662,Samana,CAL,CO,6
17665,San Jose,CAL,CO,6
17777,Supia,CAL,CO,6
17867,Victoria,CAL,CO,6
17873,Villamaria,CAL,CO,6
17877,Viterbo,CAL,CO,6
18001,Florencia,CAQ,CO,6
18029,Albania,CAQ,CO,6
18094,Belen De Los Andaquies,CAQ,CO,6
18150,Cartagena Del Chaira,CAQ,CO,6
18205,Curillo,CAQ,CO,6
18247,El Doncello,CAQ,CO,6
18256,El Paujil,CAQ,CO,6
18410,La Montañita,CAQ,CO,6
18460,Milan,CAQ,CO,6
18479,Morelia,CAQ,CO,6
18592,Puerto Rico,CAQ,CO,6
18610,San Jose Del Fragua,CAQ,CO,6
18753,San Vicente Del Caguan,CAQ,CO,6
18756,Solano,CAQ,CO,6
18785,Solita,CAQ,CO,6
18860,Valparaiso,CAQ,CO,6
85001,Yopal,CAS,CO,6
85010,Aguazul,CAS,CO,6
85015,Chameza,CAS,CO,6
85125,Hato Corozal,CAS,CO,6
85136,La Salina,CAS,CO,6
85139,Mani,CAS,CO,6
85162,Monterrey,CAS,CO,6
85225,Nunchia,CAS,CO,6
85230,Orocue,CAS,CO,6
85250,Paz De Ariporo,CAS,CO,6
85263,Pore,CAS,CO,6
85279,Recetor,CAS,CO,6
85300,Sabanalarga,CAS,CO,6
85315,Sacama,CAS,CO,6
